Country,Technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
World,Solar,1227.669,1338.986,1639.059,2353.43,3440.379,4936.519,6505.593,8985.466,15264.541,23609.567,41603.63,73920.492,104311.845,141168.897,180216.107,228053.643,300198.964,395275.634,488819.762,591058.562,716787.807,849472.633
World,Wind,16932.483,23968.965,30733.412,38670.546,47685.392,58408.125,73161.673,91553.059,115565.29,150120.583,180851.529,220121.91,266918.239,299839.614,349306.767,416170.065,466866.028,514214.817,563465.659,621270.082,731763.194,824874.09
Africa,Solar,10.927,13.029,15.243,18.019,21.996,25.965,34.268,46.656,63.373,106.845,238.842,331.388,410.954,731.973,1738.12,2255.761,3413.417,5236.063,8195.268,9500.319,10788.859,11387.26
Africa,Wind,139.05,139.05,144.31,153.61,236.13,240.2,327.925,470.12,555.32,742.37,864.797,995.002,1127.604,1741.834,2399.398,3320.268,3826.414,4579.263,5471.553,5528.753,6484.653,7334.153
Algeria,Solar,0,0,0,0,0,0,0,0,0,0,25,25,25,25,26.1,74.1,244.1,425,448,448,448,448
Algeria,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,10.2,10.2,10.2,10,10,10,10
Angola,Solar,0,0.034,0.186,0.245,0.419,0.616,0.793,2.659,4.796,5.3,7.098,7.718,9.604,10.799,11.962,12.867,13.377,13.377,13.377,13.377,13.377,13.377
Angola,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.2,2.9,2.9,2.9,2.9,2.94,2.94
Benin,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,Solar,0,0,0,0,0,0,0,0,0,0.02,0.139,0.169,1.615,1.715,1.86,2.153,3.279,3.401,3.706,5.906,5.943,5.943
Botswana,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burkina Faso,Solar,0.5,0.5,0.5,0.7,1.1,1.2,1.2,1.6,2.3,3,3.6,5.8,5.8,6.3,7,8,10,46.8,61.8,62.387,62.387,62.387
Burkina Faso,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burundi,Solar,0,0,0,0,0,0.1,0.2,0.3,0.4,0.4,0.6,0.8,1.603,2.603,2.803,3.103,4.103,5.103,5.103,5.103,5.103,5.103
Burundi,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cabo Verde,Solar,0,0,0,0,0,0,0,0,0,0,5.5,5.5,5.574,5.651,5.805,6.118,6.174,6.235,7.536,7.581,7.581,7.581
Cabo Verde,Wind,0,0,2.1,2.68,2.4,2.4,2.1,2.1,2.1,2.1,1.8,17,27.2,27.2,27.2,27.2,27.2,27.2,27.8,27.8,27.8,27.8
Cameroon,Solar,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.5,1,2.4,2.8,3.6,5.6,7.4,9,11.596,14.192,14.192,14.317,14.442
Cameroon,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cent Afr Rep,Solar,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.316,0.316,0.316
Cent Afr Rep,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,Solar,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.003,0.05,0.05,0.172,0.173,0.173,0.19,0.19,0.727,0.727
Chad,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1.1,1.1,1.1,1.1,1.1
Comoros,Solar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Comoros,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Congo DR,Solar,0,0,0,0,0,0,0,0,0,0,0,0.023,0.087,0.389,0.608,0.672,3.237,5.235,19.927,19.927,19.927,19.927
Congo DR,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Congo Rep,Solar,0,0,0,0,0,0,0,0,0,0,0,0.07,0.12,0.23,0.46,0.46,0.46,0.57,0.72,0.72,0.72,0.72
Congo Rep,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cote d Ivoire,Solar,0.033,0.054,0.068,0.088,0.147,0.158,0.18,0.369,1.094,1.404,1.553,1.667,1.973,2.908,3.834,5.059,5.059,8.278,13.144,13.144,13.144,13.144
Cote d Ivoire,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Djibouti,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.362,0.362,0.362,0.362,0.362,0.362
Djibouti,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20
Egypt,Solar,0.1,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.9,1.3,15,35,35,35,35,36,59,180,764.2,1647.2,1675.39,1675.39
Egypt,Wind,74,74,74,74,150,150,235,315,395,440,555,555,555,555,555,755,755,755,1130,1132,1380,1640
Eq Guinea,Solar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Eq Guinea,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Eritrea,Solar,0,0,0,0,0,0,0,0.001,0.001,0.001,0.004,0.005,0.023,0.035,7.859,7.859,8.209,10.209,17.709,19.959,22.209,24.459
Eritrea,Wind,0,0,0,0,0,0,0,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825
Eswatini,Solar,0,0.003,0.003,0.009,0.048,0.115,0.152,0.216,0.246,0.275,0.617,0.735,0.761,0.778,0.804,0.83,0.93,0.93,0.93,0.93,0.93,10.93
Eswatini,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ethiopia,Solar,0,0,0,0,0,0,0,0.001,0.001,0.028,0.028,0.335,1.148,3.344,9.131,9.89,14.04,12.494,12.346,12.346,20.184,21.184
Ethiopia,Wind,0,0,0,0,0,0,0,0,0,0,0,81,81,171,171,324,324.006,324.006,324.006,324.006,324.006,324.006
Gabon,Solar,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
Gabon,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gambia,Solar,0,0.012,0.068,0.209,0.393,0.646,0.728,1.169,1.409,1.626,1.777,1.859,1.991,2.026,2.106,2.166,2.176,2.178,2.178,2.178,2.178,2.178
Gambia,Wind,0,0,0,0,0,0,0,0,0,0.15,0.15,0.15,1.05,1.05,1.214,1.214,1.214,1.214,1.214,1.214,1.214,1.214
Ghana,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,5.726,31.385,37.875,47.143,78.054,84.88,107.852,107.852
Ghana,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Guinea,Solar,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.62,3.411,3.411,13.313,13.319,13.319,13.363,13.363,13.363,13.363
Guinea,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guinea Bissau,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312,0.312,0.312,1.169,1.169,1.169,1.169
Guinea Bissau,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kenya,Solar,0,0,0,0,0,0.002,0.002,0.009,0.164,0.185,0.196,1.42,3.389,7.247,16.14,30.173,31.332,38.479,104.743,105.743,105.827,146.749
Kenya,Wind,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,5.65,5.65,5.65,5.65,5.85,26.1,26.1,26.21,336.1,336.1,336.1,436.1
Lesotho,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363
Lesotho,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Liberia,Solar,0,0,0,0,0,0,0,0,0,0,0.005,0.005,0.04,0.04,0.04,0.057,0.059,2.406,2.583,2.583,2.583,2.583
Liberia,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Libya,Solar,0,0,0,0.2,0.7,1.2,1.7,2.2,2.7,3.2,3.7,4.2,4.9,4.9,4.9,4.9,4.9,5.11,5.11,5.11,5.111,6.333
Libya,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Madagascar,Solar,0,0.007,0.007,0.007,0.1,0.1,0.3,0.4,0.8,1.1,1.5,2,2.6,5,7,9,11,13,33,33,33,33
