Country,Technology,Grid connection,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,Solar photovoltaic,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.992,2.263,2.263,15.578
Afghanistan,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,Onshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,Solar photovoltaic,On-grid,..,0.136,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.408,0.544,0.767,0.924,1.03,1.188,1.428,1.36,1.2,1.334,22.196
Albania,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,Onshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,Solar photovoltaic,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,0.1,103.117,193.233,192.536,196.833,148.206,134.4,186.111,133.11,133.11
Algeria,Onshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,Solar photovoltaic,On-grid,..,..,..,..,..,..,..,..,..,..,..,0.267,1.409,2.419,2.363,2.494,3.125,3.735,3.735,3.735
American Samoa,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,Onshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,Solar photovoltaic,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.199,0.242,0.261,0.508,0.561,0.723
Andorra,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,Onshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,Solar photovoltaic,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,Onshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,Solar photovoltaic,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,0.08,0.107,0.874,1.47,2.428,2.314,1.985,2.629
Anguilla,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,Onshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,Solar photovoltaic,On-grid,..,..,..,..,..,..,..,..,..,0.158,0.158,0.473,0.473,0.63,0.63,5.355,5.434,5.828,9.608,13.073
Antigua and Barbuda,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,Onshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,Solar photovoltaic,On-grid,..,..,..,..,..,..,..,..,..,..,..,1.514,8.06,14.958,15.748,14.669,14.403,16,108,799.685
Argentina,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,Onshore wind energy,On-grid,28.892,49.361,73.405,77.954,72.445,75.381,69.639,61.593,41.951,36.832,25.352,26.231,369.24,461.27,619.043,598.665,554.047,670.269,1413,4995.966
Argentina,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,Solar photovoltaic,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.15,2.743,19.4,23.6
Armenia,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,Onshore wind energy,On-grid,..,..,..,..,..,..,2.6,2.9,1.9,4.3,7,5.6,4.1,3.8,4,3.7,1.8,2.1,1.9,3.3
Armenia,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,Solar photovoltaic,On-grid,..,..,..,..,..,..,..,..,..,..,0.088,0.351,1.141,2.283,5.707,9.658,10.712,10.712,10.712,10.712
Aruba,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,Onshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,16.638,106.159,112.237,134.199,148.994,155.61,166.419,134.179,133.054,136.392,136.392
Aruba,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,Solar photovoltaic,On-grid,38,44,50,58,68,78,90,105,123,156,386,1388,2322,3472,4007,5019,6205,8069,9926,14845
Australia,Solar thermal energy,On-grid,..,..,..,1,1,1,1,4,4,4,3,3,3,3,3,4,4,2,3,3
Australia,Onshore wind energy,On-grid,58,210,364,703,705,885,1713,2611,3093,3824,5052,6085,6970,7960,10252,11467,12199,12597,15164,17712
Australia,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,Solar photovoltaic,On-grid,3.229,5.336,9.029,14.692,18.428,18.485,19.614,21.417,26.998,45.562,85.268,169.883,333.092,620.784,779.757,931.563,1089.529,1262.008,1447.935,1694.396
Austria,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,Onshore wind energy,On-grid,66.754,104.647,139.818,372.279,933.628,1331.277,1752.793,2037.185,2011.257,1954.04,2063.914,1936.196,2462.864,3152.433,3845.675,4840.321,5234.838,6571.511,6030.429,7477.363
Austria,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,Solar photovoltaic,On-grid,..,..,..,..,..,..,..,0.129,0.129,0.129,0.387,0.2,0.2,0.8,2.911,4.568,35.25,37.2,39.3,44.2
Azerbaijan,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
