ADM2_EN,avg_specific_pv_output
Abra,4.16
Agusan del Norte,3.55
Agusan del Sur,3.69
Aklan,3.62
Albay,3.78
Antique,3.69
Apayao,3.57
Aurora,3.62
Basilan,3.74
Bataan,4.1
Batanes,3.76
Batangas,3.96
Benguet,3.96
Biliran,3.75
Bohol,3.75
Bukidnon,3.72
Bulacan,3.79
Cagayan,3.71
Camarines Norte,3.69
Camarines Sur,3.79
Camiguin,3.83
Capiz,3.73
Catanduanes,3.76
Cavite,3.97
Cebu,3.83
City of Isabela,3.71
Compostela Valley,3.56
Cotabato,3.89
Cotabato City,
Davao del Norte,3.87
Davao del Sur,3.82
Davao Occidental,
Davao Oriental,3.67
Dinagat Islands,3.65
Eastern Samar,3.79
Guimaras,4.06
Ifugao,3.87
Ilocos Norte,4.13
Ilocos Sur,4.23
Iloilo,3.9
Isabela,3.71
Kalinga,3.83
La Union,4.11
Laguna,3.83
Lanao del Norte,3.67
Lanao del Sur,3.62
Leyte,3.63
Maguindanao,4.04
Marinduque,3.88
Masbate,4.07
Misamis Occidental,3.65
Misamis Oriental,3.69
Mountain Province,3.91
"NCR, City of Manila, First District",3.85
"NCR, Fourth District",ADM2_EN
"NCR, Second District",ADM2_EN
"NCR, Third District",ADM2_EN
Negros Occidental,3.71
Negros Oriental,3.72
Northern Samar,3.81
Nueva Ecija,4.08
Nueva Vizcaya,3.74
Occidental Mindoro,3.88
Oriental Mindoro,3.77
Palawan,3.76
Pampanga,4.11
Pangasinan,4.31
Quezon,3.74
Quirino,3.59
Rizal,3.79
Romblon,3.94
Samar,3.76
Sarangani,3.69
Siquijor,4.1
Sorsogon,3.88
South Cotabato,3.72
Southern Leyte,3.58
Sultan Kudarat,3.8
Sulu,3.98
Surigao del Norte,3.64
Surigao del Sur,3.68
Tarlac,4.18
Tawi-Tawi,3.93
Zambales,3.91
Zamboanga del Norte,3.67
Zamboanga del Sur,3.84
Zamboanga Sibugay,3.88
