Year,Solar_Generation_Cost_USD_MW,Wind_Generation_Cost_USD_MW,High_Bat_Cost_USD_MW,Mid_Bat_Cost_USD_MW,Low_Bat_Cost_USD_MW
2010,378,162,700,700,700
2011,356.83,154,660,670,665
2012,335.66,146,620,640,630
2013,314.5,138,580,610,595
2014,293.3,130,540,580,560
2015,272.167,122,500,550,525
2016,251,114,470,520,490
2017,216.33,106.33,440,490,455
2018,181.66,98.66,410,460,420
2019,147,91,380,430,385
2020,136,80,350,400,350
2021,108.5,72,340,370,320
2022,81,64,330,340,290
2023,50,44,320,310,260
2024,41.5,39,310,280,230
2025,33,34,300,250,200
2026,31,32,290,246,190
2027,30,31,280,242,180
2028,30,31,270,238,170
2029,30,31,260,234,160
2030,30,31,250,230,150
2031,30,31,250,226,147
2032,30,31,250,222,144
2033,30,31,250,218,141
2034,30,31,250,214,138
2035,30,31,250,210,135
2036,30,31,250,206,132
2037,30,31,250,202,129
2038,30,31,250,198,126
2039,30,31,250,194,123
2040,30,31,250,190,120
2041,30,31,250,186,117
2042,30,31,250,182,114
2043,30,31,250,178,111
2044,30,31,250,174,108
2045,30,31,250,170,105
2046,30,31,250,166,102
2047,30,31,250,162,99
2048,30,31,250,158,96
2049,30,31,250,154,93
2050,30,31,250,150,90
