ADM2_EN,mean_power_density
Abra,1174
Agusan del Norte,220
Agusan del Sur,135
Aklan,612
Albay,541
Antique,1097
Apayao,418
Aurora,671
Basilan,70
Bataan,597
Batanes,882
Batangas,557
Benguet,631
Biliran,483
Bohol,216
Bukidnon,306
Bulacan,755
Cagayan,470
Camarines Norte,326
Camarines Sur,442
Camiguin,519
Capiz,389
Catanduanes,287
Cavite,528
Cebu,278
City of Isabela,
Compostela Valley,214
Cotabato,282
Cotabato City,
Davao del Norte,221
Davao del Sur,269
Davao Occidental,
Davao Oriental,208
Dinagat Islands,262
Eastern Samar,201
Guimaras,545
Ifugao,276
Ilocos Norte,1246
Ilocos Sur,661
Iloilo,723
Isabela,220
Kalinga,395
La Union,126
Laguna,580
Lanao del Norte,223
Lanao del Sur,139
Leyte,450
Maguindanao,180
Marinduque,396
Masbate,344
Misamis Occidental,292
Misamis Oriental,404
Mountain Province,462
"NCR, City of Manila, First District",246
"NCR, Fourth District",246
"NCR, Second District",246
"NCR, Third District",246
Negros Occidental,466
Negros Oriental,568
Northern Samar,350
Nueva Ecija,900
Nueva Vizcaya,846
Occidental Mindoro,1351
Oriental Mindoro,1061
Palawan,335
Pampanga,300
Pangasinan,880
Quezon,473
Quirino,278
Rizal,817
Romblon,583
Samar,250
Sarangani,221
Siquijor,280
Sorsogon,438
South Cotabato,160
Southern Leyte,396
Sultan Kudarat,136
Sulu,74
Surigao del Norte,235
Surigao del Sur,98
Tarlac,314
Tawi-Tawi,74
Zambales,888
Zamboanga del Norte,329
Zamboanga del Sur,250
Zamboanga Sibugay,122
