,population,GDP_Per_Capita,Solar_Generation_Cost_USD_MW,Mid_Bat_Cost_USD_MW
0,31161378,638.8458516,335.66,640
1,2900401,4247.630047,335.66,640
2,37383899,5592.220115,335.66,640
3,82427,38686.46126,335.66,640
4,25107925,5100.097027,335.66,640
5,41733271,13082.66433,335.66,640
6,2884239,3681.844691,335.66,640
7,102565,24712.49326,335.66,640
8,22733465,68027.84171,335.66,640
9,8429991,48564.91734,335.66,640
10,9295784,7496.294648,335.66,640
11,1299942,23654.36959,335.66,640
12,151005733,883.1171296,335.66,640
13,283698,16249.67395,335.66,640
14,9446836,6953.132515,335.66,640
15,11106932,44670.56068,335.66,640
16,338001,4505.600593,335.66,640
17,9729254,1145.140105,335.66,640
19,701582,2538.949519,335.66,640
20,10377677,2609.880562,335.66,640
21,2039551,7050.573472,335.66,640
22,199287292,12370.22325,335.66,640
23,7305888,7432.478766,335.66,640
24,16571252,758.000427,335.66,640
25,9245992,252.3588707,335.66,640
26,505241,3447.4831,335.66,640
27,14780454,950.880346,335.66,640
28,21485267,1403.522915,335.66,640
29,34714222,52669.08996,335.66,640
30,12784748,967.3529488,335.66,640
31,17400359,15351.54074,335.66,640
32,1354190000,6300.615118,335.66,640
33,46075721,8050.255372,335.66,640
35,4688003,10075.00462,335.66,640
36,4267558,13401.65662,335.66,640
37,11257112,6497.314764,335.66,640
38,152088,20587.39736,335.66,640
39,1135046,28912.15694,335.66,640
40,5591572,58507.50805,335.66,640
41,868136,1559.240651,335.66,640
42,70954,6849.455933,335.66,640
43,15474099,5682.046108,335.66,640
44,6237922,3428.409332,335.66,640
46,1322696,17403.20533,335.66,640
47,1079285,4527.565039,335.66,640
48,92726982,467.0778718,335.66,640
49,47843,49459.71723,335.66,640
50,865065,4591.577015,335.66,640
51,5413971,47708.06128,335.66,640
52,65659814,40872.36246,335.66,640
53,1749677,9813.505747,335.66,640
54,3728874,4421.818242,335.66,640
55,80425823,43855.85447,335.66,640
56,25996454,1587.560932,335.66,640
58,11045011,21912.99829,335.66,640
59,56810,45936.76595,335.66,640
60,107452,7444.089075,335.66,640
61,159990,32908.30677,335.66,640
62,14781942,3355.036919,335.66,640
63,10652032,717.0505359,335.66,640
64,755388,5378.810878,335.66,640
65,10250922,1337.335946,335.66,640
66,8640692,2129.521439,335.66,640
67,9920362,12989.18028,335.66,640
68,320716,45995.54788,335.66,640
69,1265780243,1443.882435,335.66,640
70,248451714,3694.35934,335.66,640
71,31890012,6836.073995,335.66,640
72,4599533,49026.02307,335.66,640
73,7910500,32667.60687,335.66,640
74,59539717,35051.52127,335.66,640
75,2842128,5209.859264,335.66,640
76,127629000,49145.28043,335.66,640
77,8089963,3910.346894,335.66,640
78,16792090,12386.69927,335.66,640
79,44343469,1271.815383,335.66,640
80,106359,1788.691439,335.66,640
81,3348852,51979.12069,335.66,640
82,6444527,1581.62871,335.66,640
83,2034319,13847.33794,335.66,640
84,5537620,7952.151266,335.66,640
85,2014988,1229.636232,335.66,640
86,4135662,675.0101918,335.66,640
87,6285751,13025.27932,335.66,640
89,2987773,14367.70942,335.66,640
90,530946,112584.6763,335.66,640
91,22346641,518.1528127,335.66,640
92,15396010,391.5617052,335.66,640
93,29068189,10817.43171,335.66,640
94,397231,7265.723399,335.66,640
95,15979492,778.6252695,335.66,640
96,420028,22527.63676,335.66,640
97,3706555,1815.218939,335.66,640
98,1255882,9291.227619,335.66,640
99,117274156,10241.72783,335.66,640
101,2824698,4351.888461,335.66,640
102,620601,6586.721279,335.66,640
103,33241898,2912.658275,335.66,640
104,24862673,657.6446765,335.66,640
105,51413703,1134.302224,335.66,640
106,2194777,5942.29274,335.66,640
107,10136,9562.667866,335.66,640
108,26989160,804.1416073,335.66,640
109,16754962,50070.1416,335.66,640
110,4408100,39973.38076,335.66,640
