,Installed_Solar_Capacity
0,16.122
1,0.679
2,25.0
3,0.0
4,9.604
5,6.252
6,0.0
7,1.0
8,3799.0
9,337.483
10,1.0
11,0.509
12,66.076
13,1.5
14,0.0
15,2646.6
16,1.875
17,0.0
19,0.275
20,4.131
21,1.615
22,6.608
23,1013.0
24,5.8
25,1.603
26,5.574
27,4.687
28,2.8
29,766.0
30,0.003
31,2.0
32,6718.8
33,1.322
35,9.862
36,4.0
37,0.6
38,0.1
39,17.0
40,402.0
41,0.3
42,0.23
43,0.08
44,0.044
46,0.38
47,0.761
48,1.148
49,0.0
50,0.918
51,8.0
52,4358.754
53,1.4
54,0.0
55,34077.0
56,0.0
58,1536.0
59,0.0
60,0.312
61,0.315
62,1.525
63,0.62
64,0.983
65,1.158
66,5.156
67,12.0
68,0.64
69,982.082
70,26.423
71,0.0
72,0.94
73,278.1
74,16789.72
75,1.8
76,6632.0
77,0.073
78,2.436
79,3.389
80,0.466
81,0.007
82,0.016
83,0.2
84,0.294
85,0.0
86,0.04
87,4.9
89,7.0
90,74.654
91,2.6
92,2.681
93,31.584
94,1.324
95,15.741
96,15.7
97,0.0
98,1.42
99,72.8
101,4.585
102,0.938
103,35.174
104,1.5
105,2.8
106,11.072
107,0.07
108,9.251
109,287.0
110,4.0
111,0.0
112,4.0
113,15.2
114,4.0
115,10.0
116,0.0
117,45.783
118,0.667
119,2.994
120,0.005
121,102.566
122,2.02
123,1.3
124,238.0
125,46.61
126,0.667
127,41.0
128,0.469
129,0.014
131,13.55
132,5.9
133,7.068
134,0.0
135,0.237
136,7.8
137,142.0
139,11.303
140,0.16
141,6569.0
142,9.663
143,8.066
144,0.661
145,24.0
146,437.0
148,1.164
149,381.7
150,0.353
151,1.131
152,5.571
153,11.7
155,0.212
156,17.32
157,371.6
158,0.608
159,0.0
160,0.167
161,0.0
162,0.905
163,104311.845
164,16.843
165,0.758
166,25.0
167,0.0
168,10.799
169,8.257
170,0.0
171,1.6
172,4568.0
173,625.974
174,1.0
175,0.509
176,93.964
177,1.7
178,0.0
179,2901.6
180,1.91
181,0.0
183,0.275
184,5.535
185,1.715
186,12.528
187,1020.0
188,6.3
189,2.603
190,5.651
191,5.877
192,3.6
193,1210.0
194,0.05
195,15.0
196,17758.8
197,1.383
199,12.714
200,19.0
201,11.0
202,3.1
203,35.0
204,571.0
205,0.3
206,0.23
207,3.9
208,12.503
210,1.5
211,0.778
212,3.344
213,0.0
214,1.365
215,9.0
216,5277.289
217,1.4
218,0.0
219,36710.0
220,3.49
222,2579.0
223,0.0
224,0.515
225,0.81
226,2.56
227,3.411
228,1.04
229,1.411
230,5.156
231,35.0
232,0.92
233,1599.327
234,38.377
235,29.5
236,1.017
237,382.9
238,18190.07
239,2.106
240,13599.0
241,0.141
242,15.762
243,7.247
244,0.502
245,0.114
246,0.476
247,0.2
248,0.351
249,0.363
250,0.04
251,4.9
253,68.0
254,95.021
255,5.0
256,5.395
257,138.674
258,1.753
259,15.741
260,28.5
261,18.0
262,2.46
263,109.0
265,5.018
266,1.109
267,35.174
268,4.9
269,4.209
270,14.589
271,0.21
272,10.823
273,650.0
274,8.0
275,1.38
276,5.0
277,15.4
278,7.0
279,11.0
280,0.7
281,100.658
282,0.745
283,3.711
284,0.057
285,108.525
286,3.047
287,2.393
288,296.0
289,77.005
290,2.287
291,761.0
292,0.948
293,0.164
295,22.45
296,7.0
297,9.722
298,0.278
299,0.384
300,11.8
301,187.0
302,0.0
303,261.625
304,0.16
305,6994.063
306,13.023
307,14.666
308,0.943
309,43.0
310,756.0
312,3.674
313,828.5
314,0.433
315,1.654
316,9.537
317,18.7
319,0.212
320,18.5
321,748.4
322,1.109
323,1.0
324,0.183
325,0.06
326,1.97
327,141168.897
328,18.363
329,0.874
330,26.1
331,0.186
332,11.962
333,8.252
334,0.0
335,4.9
336,5287.0
337,785.246
338,2.4
339,5.009
340,119.486
341,6.5
342,4.0
343,3015.0
344,2.57
345,0.2
347,0.275
348,5.535
349,1.86
350,20.697
351,1026.0
352,7.0
353,2.803
354,5.805
355,9.187
356,5.6
357,1843.0
358,0.05
359,221.0
360,28398.8
361,1.418
363,16.671
364,33.0
365,22.0
366,7.7
367,64.0
368,607.0
369,0.3
370,0.23
371,26.4
372,12.503
374,3.34
375,0.804
376,9.131
377,0.0
378,1.891
379,11.0
380,6034.418
381,1.4
382,0.0
383,37900.0
384,5.726
386,2596.0
387,0.0
388,0.698
389,1.44
390,10.434
391,3.411
392,1.085
393,1.597
394,5.156
395,89.0
396,1.139
397,3772.508
398,41.648
399,36.5
400,1.629
401,593.2
402,18600.07
403,4.108
404,23339.0
405,0.236
406,76.295
407,16.14
408,0.753
409,2.049
410,1.538
411,0.2
412,2.15
413,0.363
414,0.04
415,4.9
417,69.0
418,109.933
419,7.0
420,7.664
421,205.388
422,3.882
423,16.15
424,54.6
425,18.151
426,18.21
427,174.0
429,5.018
430,2.149
431,39.6
432,7.0
433,6.271
434,16.465
435,0.21
436,11.542
437,1007.0
438,22.0
439,1.38
440,6.0
441,15.6
442,15.0
443,13.0
444,0.7
445,165.363
446,0.91
447,6.111
448,0.057
449,130.484
450,27.737
451,27.15
452,415.0
453,81.797
454,3.967
455,1293.0
456,10.241
457,3.094
459,24.264
460,9.0
461,13.428
462,0.959
463,0.395
464,25.3
465,223.0
466,0.1
467,1162.901
468,0.16
469,7001.063
470,19.64
471,16.584
472,6.195
473,60.0
474,1061.0
476,11.188
477,1303.5
478,0.822
479,1.654
480,17.074
481,41.0
483,0.278
484,20.0
485,819.1
486,3.227
487,1.13
488,0.273
489,0.06
490,2.702
491,180216.107
492,18.932
493,1.05
494,74.1
495,0.226
496,12.867
497,8.618
498,0.0
499,6.1
500,5946.0
501,937.098
502,4.8
503,5.009
504,144.751
505,9.0
506,6.0
507,3131.6
508,3.87
509,1.2
511,0.275
512,5.535
513,2.153
514,45.567
515,1029.0
516,8.0
517,3.103
518,6.118
519,12.189
520,7.4
521,2519.0
522,0.172
523,576.0
524,43548.8
525,1.463
527,22.484
528,47.8
529,23.8
530,10.1
531,76.0
532,782.108
533,0.3
534,0.23
535,25.53
536,23.576
538,6.5
539,0.83
540,9.89
541,0.0
542,3.322
543,17.0
544,7137.517
545,1.4
546,0.0
547,39224.0
548,31.385
550,2604.0
551,0.0
552,1.023
553,31.95
554,93.308
555,13.313
556,1.521
557,1.964
558,393.156
559,172.0
560,2.539
561,5693.484
562,78.561
563,36.5
564,2.352
565,771.8
566,18907.07
567,6.513
568,34150.0
569,5.557
570,143.573
571,30.173
572,2.309
573,3.181
574,1.89
575,0.2
576,8.787
577,0.363
578,0.057
579,4.9
581,69.0
582,116.272
583,9.0
584,12.087
585,266.285
586,4.799
587,17.178
588,74.8
589,18.166
590,18.68
591,287.0
593,5.018
594,2.719
595,199.8
596,10.0
597,20.819
598,20.965
599,0.21
600,13.381
601,1526.0
602,37.0
603,1.38
604,7.0
605,17.0
606,17.0
607,15.0
608,2.203
609,265.512
610,0.91
611,49.311
612,0.057
613,134.914
614,172.55
615,107.777
616,447.0
617,212.05
618,3.967
619,1326.0
620,14.217
621,4.784
623,24.264
624,9.0
625,15.832
626,1.414
627,0.42
628,45.7
629,238.0
630,0.17
631,1351.656
632,0.16
633,7008.063
634,31.154
635,19.911
636,6.245
637,104.0
638,1394.0
640,12.795
641,1424.6
642,1.704
643,2.66
644,27.547
645,250.0
647,2.064
648,22.0
649,841.2
650,5.968
651,1.13
652,0.434
653,0.06
654,4.326
655,228053.643
656,20.17
657,1.0
658,244.1
659,0.244
660,13.377
661,8.806
662,1.0
663,6.1
664,6689.0
665,1096.016
666,24.9
667,6.009
668,160.583
669,20.0
670,47.0
671,3328.8
672,3.87
673,2.9
675,0.275
676,5.535
677,3.279
678,127.789
679,1028.0
680,10.0
681,4.103
682,6.174
683,18.363
684,9.0
685,2665.0
686,0.173
687,1125.0
688,77818.8
689,1.52
691,23.568
692,55.8
693,37.0
694,11.1
695,84.0
696,850.953
697,0.362
698,0.63
699,25.59
700,24.787
702,10.0
703,0.93
704,14.04
705,0.0
706,5.322
707,39.0
708,7702.081
709,1.4
710,0.25
711,40679.0
712,37.875
714,2604.0
715,0.0
716,2.186
717,34.65
718,93.308
719,13.319
720,1.96
721,2.005
722,414.156
723,235.0
724,3.527
725,9979.021
726,88.42
727,36.5
728,5.927
729,879.7
730,19289.07
731,27.513
732,42040.0
733,286.593
734,156.989
735,31.332
736,2.862
737,30.509
738,2.045
739,0.69
740,22.117
741,0.363
742,0.059
743,4.9
745,70.0
746,121.896
747,11.0
748,12.087
749,344.108
750,7.488
751,17.571
752,93.6
753,34.766
754,27.29
755,632.6
757,15.018
758,3.119
759,201.87
760,13.0
761,32.008
762,35.965
763,0.71
764,13.552
765,2135.0
766,53.0
767,1.38
768,8.0
769,18.4
770,16.699
771,26.7
772,2.214
773,589.505
774,1.28
775,93.011
776,0.057
777,146.147
778,784.145
779,187.247
780,512.824
781,246.703
782,5.1
783,1372.0
784,19.441
785,7.234
787,24.264
788,42.0
789,17.241
790,1.946
791,0.484
792,96.639
793,233.0
794,4.67
795,2174.026
797,7017.063
798,62.539
799,26.219
800,6.71
801,153.0
802,1664.0
804,18.524
805,2451.1
806,2.145
807,3.247
808,38.06
809,834.0
811,2.222
812,24.0
813,954.7
814,10.458
815,2.33
816,1.751
817,0.094
818,5.109
819,300198.964
820,22.023
821,1.0
822,425.0
