,Country,2012_x,2012_y,2012
0,Afghanistan,..,638.8458516,31161378
4,Albania,0.924,4247.630047,2900401
5,Albania,..,4247.630047,2900401
8,Algeria,..,5592.220115,37383899
9,Algeria,193.233,5592.220115,37383899
12,American Samoa,1.409,11496.5241,55669
13,American Samoa,..,11496.5241,55669
16,Andorra,..,38686.46126,82427
20,Angola,..,5100.097027,25107925
24,Antigua and Barbuda,0.473,13272.73494,90407
25,Antigua and Barbuda,..,13272.73494,90407
28,Argentina,8.06,13082.66433,41733271
29,Argentina,..,13082.66433,41733271
30,Argentina,369.24,13082.66433,41733271
32,Armenia,..,3681.844691,2884239
34,Armenia,4.1,3681.844691,2884239
36,Aruba,1.141,24712.49326,102565
37,Aruba,..,24712.49326,102565
38,Aruba,134.199,24712.49326,102565
40,Australia,2322,68027.84171,22733465
41,Australia,3,68027.84171,22733465
42,Australia,6970,68027.84171,22733465
43,Australia,..,68027.84171,22733465
44,Austria,333.092,48564.91734,8429991
45,Austria,..,48564.91734,8429991
46,Austria,2462.864,48564.91734,8429991
48,Azerbaijan,0.2,7496.294648,9295784
49,Azerbaijan,..,7496.294648,9295784
52,Bahrain,0.825,23654.36959,1299942
53,Bahrain,..,23654.36959,1299942
54,Bahrain,1.2,23654.36959,1299942
56,Bangladesh,..,883.1171296,151005733
58,Bangladesh,1.577,883.1171296,151005733
60,Barbados,3.419,16249.67395,283698
61,Barbados,..,16249.67395,283698
64,Belarus,..,6953.132515,9446836
66,Belarus,6.234,6953.132515,9446836
68,Belgium,2148,44670.56068,11106932
69,Belgium,..,44670.56068,11106932
70,Belgium,1897,44670.56068,11106932
71,Belgium,854,44670.56068,11106932
72,Belize,..,4505.600593,338001
76,Benin,..,1145.140105,9729254
80,Bhutan,..,2538.949519,701582
84,Bosnia and Herzegovina,0.405,4777.066914,3604972
85,Bosnia and Herzegovina,..,4777.066914,3604972
86,Bosnia and Herzegovina,0.8,4777.066914,3604972
88,Botswana,0.554,7050.573472,2039551
89,Botswana,..,7050.573472,2039551
92,Brazil,1.615,12370.22325,199287292
93,Brazil,..,12370.22325,199287292
94,Brazil,5050.046,12370.22325,199287292
96,British Virgin Islands,0.111,..,28654
97,British Virgin Islands,..,..,28654
98,British Virgin Islands,1.25,..,28654
100,Brunei Darussalam,1.667,47739.55769,398997
101,Brunei Darussalam,..,47739.55769,398997
104,Bulgaria,813.867,7432.478766,7305888
105,Bulgaria,..,7432.478766,7305888
106,Bulgaria,1220.898,7432.478766,7305888
108,Burkina Faso,..,758.000427,16571252
112,Burundi,0.626,252.3588707,9245992
113,Burundi,..,252.3588707,9245992
116,Cabo Verde,7.464,3447.4831,505241
117,Cabo Verde,..,3447.4831,505241
118,Cabo Verde,63.03,3447.4831,505241
120,Cambodia,6.786,950.880346,14780454
121,Cambodia,..,950.880346,14780454
124,Cameroon,..,1403.522915,21485267
128,Canada,881,52669.08996,34714222
129,Canada,..,52669.08996,34714222
130,Canada,11310,52669.08996,34714222
132,Cayman Islands,..,72777.14849,58963
136,Central African Republic,..,565.8012071,4436411
140,Chad,..,967.3529488,12784748
144,Chile,0.368,15351.54074,17400359
145,Chile,..,15351.54074,17400359
146,Chile,409,15351.54074,17400359
148,China,4100,6300.615118,1354190000
149,China,1,6300.615118,1354190000
150,China,102312.973,6300.615118,1354190000
151,China,487.027,6300.615118,1354190000
152,Colombia,..,8050.255372,46075721
154,Colombia,55,8050.255372,46075721
156,Comoros,..,1403.360252,723865
160,Costa Rica,11.576,10075.00462,4688003
161,Costa Rica,..,10075.00462,4688003
162,Costa Rica,528.4,10075.00462,4688003
164,Croatia,2.404,13401.65662,4267558
165,Croatia,..,13401.65662,4267558
166,Croatia,328.746,13401.65662,4267558
168,Cuba,15.119,6497.314764,11257112
169,Cuba,..,6497.314764,11257112
170,Cuba,21.46,6497.314764,11257112
172,Cyprus,21.545,28912.15694,1135046
173,Cyprus,..,28912.15694,1135046
174,Cyprus,185.478,28912.15694,1135046
176,Denmark,103.861,58507.50805,5591572
177,Denmark,..,58507.50805,5591572
178,Denmark,7995.406,58507.50805,5591572
179,Denmark,2274.534,58507.50805,5591572
180,Djibouti,..,1559.240651,868136
184,Dominica,0.357,6849.455933,70954
185,Dominica,..,6849.455933,70954
186,Dominica,0.595,6849.455933,70954
188,Dominican Republic,0.189,6110.366576,9930916
189,Dominican Republic,..,6110.366576,9930916
190,Dominican Republic,95.818,6110.366576,9930916
192,Ecuador,..,5682.046108,15474099
196,El Salvador,..,3428.409332,6237922
200,Equatorial Guinea,..,21711.15159,1031191
204,Eritrea,..,..,..
208,Estonia,0.348,17403.20533,1322696
209,Estonia,..,17403.20533,1322696
210,Estonia,433.517,17403.20533,1322696
212,Eswatini,..,4527.565039,1079285
216,Ethiopia,..,467.0778718,92726982
218,Ethiopia,192,467.0778718,92726982
220,Faroe Islands,..,49459.71723,47843
222,Faroe Islands,10.8,49459.71723,47843
224,Fiji,0.479,4591.577015,865065
225,Fiji,..,4591.577015,865065
226,Fiji,6.809,4591.577015,865065
228,Finland,5.749,47708.06128,5413971
229,Finland,..,47708.06128,5413971
230,Finland,444.323,47708.06128,5413971
231,Finland,50,47708.06128,5413971
232,France,4427.936,40872.36246,65659814
233,France,..,40872.36246,65659814
234,France,15178.4,40872.36246,65659814
236,French Polynesia,12.5,..,268995
237,French Polynesia,..,..,268995
240,Gabon,..,9813.505747,1749677
244,Georgia,..,4421.818242,3728874
248,Germany,26380,43855.85447,80425823
249,Germany,..,43855.85447,80425823
250,Germany,49949,43855.85447,80425823
251,Germany,1731,43855.85447,80425823
252,Ghana,..,1587.560932,25996454
256,Greece,1693.986,21912.99829,11045011
257,Greece,..,21912.99829,11045011
258,Greece,3850.157,21912.99829,11045011
