,Country,2012_x,2012_y,2012
0,Afghanistan,..,638.8458516,31161378
1,Albania,0.924,4247.630047,2900401
2,Algeria,..,5592.220115,37383899
3,American Samoa,1.409,11496.5241,55669
4,Andorra,..,38686.46126,82427
5,Angola,..,5100.097027,25107925
6,Antigua and Barbuda,0.473,13272.73494,90407
7,Argentina,8.06,13082.66433,41733271
8,Armenia,..,3681.844691,2884239
9,Aruba,1.141,24712.49326,102565
10,Australia,2322,68027.84171,22733465
11,Austria,333.092,48564.91734,8429991
12,Azerbaijan,0.2,7496.294648,9295784
13,Bahrain,0.825,23654.36959,1299942
14,Bangladesh,..,883.1171296,151005733
15,Barbados,3.419,16249.67395,283698
16,Belarus,..,6953.132515,9446836
17,Belgium,2148,44670.56068,11106932
18,Belize,..,4505.600593,338001
19,Benin,..,1145.140105,9729254
20,Bhutan,..,2538.949519,701582
21,Bosnia and Herzegovina,0.405,4777.066914,3604972
22,Botswana,0.554,7050.573472,2039551
23,Brazil,1.615,12370.22325,199287292
24,British Virgin Islands,0.111,..,28654
25,Brunei Darussalam,1.667,47739.55769,398997
26,Bulgaria,813.867,7432.478766,7305888
27,Burkina Faso,..,758.000427,16571252
28,Burundi,0.626,252.3588707,9245992
29,Cabo Verde,7.464,3447.4831,505241
30,Cambodia,6.786,950.880346,14780454
31,Cameroon,..,1403.522915,21485267
32,Canada,881,52669.08996,34714222
33,Cayman Islands,..,72777.14849,58963
34,Central African Republic,..,565.8012071,4436411
35,Chad,..,967.3529488,12784748
36,Chile,0.368,15351.54074,17400359
37,China,4100,6300.615118,1354190000
38,Colombia,..,8050.255372,46075721
39,Comoros,..,1403.360252,723865
40,Costa Rica,11.576,10075.00462,4688003
41,Croatia,2.404,13401.65662,4267558
42,Cuba,15.119,6497.314764,11257112
43,Cyprus,21.545,28912.15694,1135046
44,Denmark,103.861,58507.50805,5591572
45,Djibouti,..,1559.240651,868136
46,Dominica,0.357,6849.455933,70954
47,Dominican Republic,0.189,6110.366576,9930916
48,Ecuador,..,5682.046108,15474099
49,El Salvador,..,3428.409332,6237922
50,Equatorial Guinea,..,21711.15159,1031191
51,Eritrea,..,..,..
